Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hiya!";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"Hello!";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"Neutral greeting you can use all day.";"Gün boyu kullanılabilir, samimi selam."
"Bye!";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"No worries!";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"As a reply to “thanks” (= “you’re welcome”).";"Teşekküre cevap (= “bir şey değil”)."
"Thanks!";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"Thanks a lot!";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"Yes";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"No";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"Sorry";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"Most common way to get someone’s attention in England.";""
"I'm …";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"Nice to meet you!";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"What's your name?";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"";"Nazik: “Adınız ne?”"
"I don't get it.";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"Do you speak English?";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"Could you speak a bit slower, please?";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
"My English isn't great.";"Türkçem çok iyi değil.";[sound:trTR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ˈtyɾkt͡ʃɛm t͡ʃok iˈji deˈjil/";"/ˈtyurk-chem chok ee-yee de-ˈyil/";"";""
"How do you say … in English?";"… Türkçe nasıl denir?";[sound:trTR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/tyɾkt͡ʃe nɯˈsɯl deˈniɾ/";"/tyurk-che na-ˈsul de-ˈnir/";"";""
"Menu, please.";"Menü lütfen.";[sound:trTR_REQUEST_MENU.mp3];"/ˈmɛnʏ ˈlytfen/";"/ˈme-ny ˈlyt-fen/";"";""
"Coffee";"Kahve";[sound:trTR_REQUEST_COFFEE.mp3];"/ˈkahve/";"/ˈkah-ve/";"";""
"Water";"Su";[sound:trTR_REQUEST_WATER.mp3];"/su/";"/su/";"";""
"please";"lütfen";[sound:trTR_REQUEST_PLEASE.mp3];"/ˈlytfen/";"/ˈlyt-fen/";"Used when asking for things.";""
"Could we get the bill, please?";"Hesap lütfen.";[sound:trTR_REQUEST_BILL.mp3];"/heˈsap ˈlytfen/";"/he-ˈsap ˈlyt-fen/";"";""
"I'm vegetarian.";"Vejetaryenim.";[sound:trTR_DINING_VEGETARIAN.mp3];"/ved͡ʒetaɾˈjenim/";"/ve-je-tar-ˈye-nim/";"";""
