Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"Γεια σας!";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"Ουδέτερο, ταιριάζει όλη μέρα.";""
"Τα λέμε!";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"Παρακαλώ!";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Reply to “grazie”."
"Ευχαριστώ!";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"";""
"Ευχαριστώ πολύ!";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"Ναι";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"Όχι";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"Συγγνώμη";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"Για «με συγχωρείτε» ή «σόρι».";"Informal; polite: “Scusi”."
"Με λένε …";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"Χάρηκα!";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"";""
"Πώς σε λένε;";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";""
"Δεν καταλαβαίνω.";"Non capisco.";[sound:itIT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/non kaˈpisko/";"/non ka-ˈpees-ko/";"";""
"Μιλάτε Αγγλικά;";"Parla inglese?";[sound:itIT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈparla iŋˈɡleze/";"/ˈpar-la ing-ˈle-ze/";"";""
"Λίγο πιο αργά, παρακαλώ.";"Un po' più piano, per favore.";[sound:itIT_COMMUNICATION_SPEAK_SLOWER.mp3];"/um pɔ pjʊ ˈpjano per faˈvoːre/";"/oon po pyoo ˈpya-no, per fa-ˈvo-re/";"";""
"Τα Ελληνικά μου δεν είναι πολύ καλά.";"Il mio italiano non è granché.";[sound:itIT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/il ˈmi.o italiˈaːno non ɛ ɡraŋˈke/";"/il ˈmee-o ee-ta-lya-no non eh gran-ˈkeh/";"";""
"Πώς το λέτε στα Ελληνικά;";"Come si dice … in italiano?";[sound:itIT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkome si ˈdit͡ʃe in italiˈaːno/";"/ˈko-me see ˈdee-che in ee-ta-lya-no/";"";""
"Κατάλογο, παρακαλώ.";"Il menù, per favore.";[sound:itIT_REQUEST_MENU.mp3];"/il meˈnu per faˈvoːre/";"/eel me-ˈnu, per fa-ˈvo-re/";"";""
"Καφέ";"Caffè";[sound:itIT_REQUEST_COFFEE.mp3];"/kafˈfɛ/";"/kaf-ˈfeh/";"";""
"Νερό";"Acqua";[sound:itIT_REQUEST_WATER.mp3];"/ˈakkwa/";"/ˈak-qua/";"";""
"παρακαλώ";"per favore";[sound:itIT_REQUEST_PLEASE.mp3];"/per faˈvoːre/";"/per fa-ˈvo-re/";"Χρήση όταν ζητάμε κάτι.";""
"Λογαριασμό, παρακαλώ.";"Il conto, per favore.";[sound:itIT_REQUEST_BILL.mp3];"/il ˈkonto per faˈvoːre/";"/eel ˈkon-to, per fa-ˈvo-re/";"";""
"Είμαι χορτοφάγος.";"Sono vegetariano/a.";[sound:itIT_DINING_VEGETARIAN.mp3];"/ˈsoːno ved͡ʒetaˈrjano(a)/";"/ˈso-no ve-je-ta-ˈrya-no(-a)/";"Για γυναίκα: «χορτοφάγα».";"“-a” for female."
"Ήταν πεντανόστιμο!";"Era buonissimo!";[sound:itIT_DINING_DELICIOUS.mp3];"/ˈeːra bwoˈnisːimo/";"/ˈeh-ra bwo-ˈnee-see-mo/";"";""
"Είναι τέλειο!";"È davvero buono!";[sound:itIT_DINING_YUMMY.mp3];"/ɛ davˈvɛro ˈbwɔno/";"/eh dav-ˈve-ro ˈbwo-no/";"";""
"Πού είναι ο σταθμός;";"Dov’è la stazione?";[sound:itIT_NAVIGATION_TRAIN_STATION.mp3];"/doˈvɛ la statˈtsjoːne/";"/do-ˈveh la sta-ˈtsyo-ne/";"";""
"Πού είναι η τουαλέτα;";"Dov’è il bagno?";[sound:itIT_NAVIGATION_RESTROOM.mp3];"/doˈvɛ il ˈbaɲɲo/";"/do-ˈveh il ˈban-nyo/";"";""
"Πού είναι το κοντινότερο ΑΤΜ;";"Dov’è il bancomat?";[sound:itIT_NAVIGATION_ATM.mp3];"/doˈvɛ il ˈbaŋkomat/";"/do-ˈveh il ˈban-ko-mat/";"";""
"Πόσο κάνει αυτό;";"Quanto costa?";[sound:itIT_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈkɔsta/";"/ˈkwan-to ˈkos-ta/";"";""
"Μπορώ με κάρτα;";"Posso pagare con la carta?";[sound:itIT_SHOPPING_PAY_BY_CARD.mp3];"/ˈposso paˈɡaːre kon la ˈkarta/";"/ˈpos-so pa-ˈga-re kon la ˈkar-ta/";"";""
"Με μετρητά.";"Pago in contanti.";[sound:itIT_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɡo in konˈtanti/";"/ˈpa-go in kon-ˈtan-tee/";"";""
"Βοήθεια!";"Aiuto!";[sound:itIT_EMERGENCY_HELP.mp3];"/aiˈuːto/";"/ai-ˈyoo-to/";"";""
"Χρειάζομαι γιατρό!";"Ho bisogno di un medico!";[sound:itIT_EMERGENCY_DOCTOR.mp3];"/o biˈzoɲɲo di un ˈmɛdiko/";"/o bee-ˈzohn-nyo dee oon ˈme-dee-ko/";"";""
"Καλέστε την αστυνομία!";"Chiami la polizia!";[sound:itIT_EMERGENCY_POLICE.mp3];"/ˈkjaːmi la poliˈt͡sia/";"/ˈkya-mee la po-li-ˈtsee-a/";"";""
"ένα";"uno";[sound:itIT_NUMBER_ONE.mp3];"/ˈuːno/";"/ˈoo-no/";"";""
