Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"Bonjour !";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"Usable all daytime.";""
"À plus !";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"De rien !";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Reply to “merci”.";"Casual “you’re welcome”."
"Merci !";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"";""
"Merci beaucoup !";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"Oui";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"Non";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"Pardon";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"";"Polite plural: “Më falni”."
"Je m’appelle …";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"Enchanté(e) !";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"";"Polite: “Si quheni?”"
"Je comprends pas.";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
"Vous parlez anglais ?";"Flisni anglisht?";[sound:sqAL_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈflisni anˈɡliʃt/";"/ˈflees-nee ang-ˈlisht?/";"";""
"Plus lentement, s’il vous plaît.";"Më ngadalë, ju lutem.";[sound:sqAL_COMMUNICATION_SPEAK_SLOWER.mp3];"/mə ŋaˈdalə, ju ˈlutɛm/";"/mə nga-ˈda-lə, yoo ˈlu-tem/";"";""
"Je parle pas très bien français.";"Nuk flas mirë shqip.";[sound:sqAL_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nuk flas ˈmiɾə ʃcip/";"/nuk flas ˈmee-rə shchip/";"";""
"Comment on dit … en français ?";"Si thuhet … në shqip?";[sound:sqAL_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/si ˈθuhɛt nə ʃcip/";"/see ˈthu-het nə shchip?/";"";""
"La carte, s’il vous plaît.";"Menyja, ju lutem.";[sound:sqAL_REQUEST_MENU.mp3];"/mɛˈnyja, ju ˈlutɛm/";"/me-ˈnyah, yoo ˈlu-tem/";"";""
"Café";"Kafe";[sound:sqAL_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Eau";"Ujë";[sound:sqAL_REQUEST_WATER.mp3];"/ˈujə/";"/ˈoo-yə/";"";""
"s’il vous plaît";"ju lutem";[sound:sqAL_REQUEST_PLEASE.mp3];"/ju ˈlutɛm/";"/yoo ˈlu-tem/";"";""
"L’addition, s’il vous plaît.";"Llogarinë, ju lutem.";[sound:sqAL_REQUEST_BILL.mp3];"/lɔɡaˈɾinə, ju ˈlutɛm/";"/llo-ga-ˈree-nə, yoo ˈlu-tem/";"";""
"Je suis végétarien(ne).";"Jam vegjetarian/e.";[sound:sqAL_DINING_VEGETARIAN.mp3];"/jam ved͡ʒetaˈɾian(e)/";"/yam ve-je-ta-ˈryan(-e)/";"Add -(ne) if female.";"“-e” for female."
"C’était délicieux !";"Ishte shumë e shijshme!";[sound:sqAL_DINING_DELICIOUS.mp3];"/ˈiʃtɛ ʃum ə ˈʃijʃmə/";"/ˈish-te shoom ə ˈsheesh-mə/";"";""
"C’est trop bon !";"Është shumë e mirë!";[sound:sqAL_DINING_YUMMY.mp3];"/ˈəʃtə ʃum ə ˈmirə/";"/ˈəsh-tə shoom ə ˈmee-rə/";"";""
"Où est la gare ?";"Ku është stacioni i trenit?";[sound:sqAL_NAVIGATION_TRAIN_STATION.mp3];"/ku ˈəʃtə staˈcjɔni i ˈtrɛnit/";"/koo ˈəsh-tə sta-ˈtsyoh-ni i ˈtre-nit/";"";""
"Où sont les toilettes ?";"Ku është tualeti?";[sound:sqAL_NAVIGATION_RESTROOM.mp3];"/ku ˈəʃtə tuaˈlɛti/";"/koo ˈəsh-tə tua-ˈle-ti/";"";""
"Où est le distributeur ?";"Ku ka bankomat?";[sound:sqAL_NAVIGATION_ATM.mp3];"/ku ka baŋkɔˈmat/";"/koo ka ban-ko-ˈmat/";"";""
"C’est combien ?";"Sa kushton kjo?";[sound:sqAL_SHOPPING_HOW_MUCH.mp3];"/sa kuʃˈtɔn cɔ/";"/sa kush-ˈton kyo?/";"";""
"Je peux payer par carte ?";"Mund të paguaj me kartë?";[sound:sqAL_SHOPPING_PAY_BY_CARD.mp3];"/mund tə paˈɡuaj mɛ ˈkaɾtə/";"/moond tə pa-ˈgoo-ai me ˈkar-tə?/";"";""
"Je paie en espèces.";"Paguaj me para në dorë.";[sound:sqAL_SHOPPING_PAY_BY_CASH.mp3];"/paˈɡuaj mɛ paˈɾa nə dɔɾə/";"/pa-ˈgoo-ai me pa-ˈra nə ˈdo-rə/";"";""
"Au secours !";"Ndihmë!";[sound:sqAL_EMERGENCY_HELP.mp3];"/ndi.hmə/";"/n-DEEH-mə/";"";""
"J’ai besoin d’un médecin !";"Më duhet një mjek!";[sound:sqAL_EMERGENCY_DOCTOR.mp3];"/mə ˈduhɛt ɲə mjɛk/";"/mə ˈdu-het nyə myek/";"";""
"Appelez la police !";"Thirrni policinë!";[sound:sqAL_EMERGENCY_POLICE.mp3];"/ˈθirni pɔliˈtsin/";"/THIR-ni po-li-ˈtseen/";"";""
"un";"një";[sound:sqAL_NUMBER_ONE.mp3];"/ɲə/";"/nyə/";"";""
"deux";"dy";[sound:sqAL_NUMBER_TWO.mp3];"/dy/";"/dy/";"";""
"trois";"tre";[sound:sqAL_NUMBER_THREE.mp3];"/trɛ/";"/treh/";"";""
"quatre";"katër";[sound:sqAL_NUMBER_FOUR.mp3];"/ˈkatər/";"/ˈka-tər/";"";""
"cinq";"pesë";[sound:sqAL_NUMBER_FIVE.mp3];"/ˈpɛsə/";"/ˈpe-sə/";"";""
"six";"gjashtë";[sound:sqAL_NUMBER_SIX.mp3];"/ɟaʃt/";"/gyasht/";"";""
"sept";"shtatë";[sound:sqAL_NUMBER_SEVEN.mp3];"/ʃtatə/";"/shta-tə/";"";""
"huit";"tetë";[sound:sqAL_NUMBER_EIGHT.mp3];"/ˈtɛtə/";"/ˈte-tə/";"";""
"neuf";"nëntë";[sound:sqAL_NUMBER_NINE.mp3];"/ˈnən.tə/";"/ˈnən-tə/";"";""
"dix";"dhjetë";[sound:sqAL_NUMBER_TEN.mp3];"/ˈðjɛ.tə/";"/ˈth-ye-tə/";"";""
