Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"Γεια σας!";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"Ουδέτερο, ταιριάζει όλη μέρα.";"Pergunta informal que serve como cumprimento todo o dia."
"Τα λέμε!";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"Παρακαλώ!";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Resposta a “obrigado/obrigada”."
"Ευχαριστώ!";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"Ευχαριστώ πολύ!";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Ναι";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Όχι";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"Συγγνώμη";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"Για «με συγχωρείτε» ή «σόρι».";""
"Με λένε …";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"Χάρηκα!";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"Πώς σε λένε;";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";"Cortês: «Como se chama?»"
"Δεν καταλαβαίνω.";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"Μιλάτε Αγγλικά;";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"Λίγο πιο αργά, παρακαλώ.";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"Τα Ελληνικά μου δεν είναι πολύ καλά.";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"Πώς το λέτε στα Ελληνικά;";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"Κατάλογο, παρακαλώ.";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"Καφέ";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"";""
"Νερό";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
"παρακαλώ";"se faz favor";[sound:ptPT_REQUEST_PLEASE.mp3];"/sɨ faʃ fɐˈvoɾ/";"/si fash fa-ˈvor/";"Χρήση όταν ζητάμε κάτι.";""
"Λογαριασμό, παρακαλώ.";"A conta, se faz favor.";[sound:ptPT_REQUEST_BILL.mp3];"/ɐ ˈkõtɐ, sɨ faʃ fɐˈvoɾ/";"/a ˈkon-ta, si fash fa-ˈvor/";"";""
"Είμαι χορτοφάγος.";"Sou vegetariano/a.";[sound:ptPT_DINING_VEGETARIAN.mp3];"/so(w) vɨʒɨtɐɾiˈɐnu(a)/";"/so ve-zhe-ta-ree-ˈa-no(-a)/";"Για γυναίκα: «χορτοφάγα».";"“-a” para feminino."
"Ήταν πεντανόστιμο!";"Estava delicioso!";[sound:ptPT_DINING_DELICIOUS.mp3];"/(ɨ)ʃˈtavɐ dɨliˈsjozu/";"/sh-ˈta-va dɨ-lee-ˈsyo-zu/";"";""
"Είναι τέλειο!";"Está mesmo bom!";[sound:ptPT_DINING_YUMMY.mp3];"/(ɨ)ʃˈta ˈmeʒmu bõ/";"/sh-ˈta ˈmezh-moo bohng~/";"";""
"Πού είναι ο σταθμός;";"Onde fica a estação?";[sound:ptPT_NAVIGATION_TRAIN_STATION.mp3];"/ˈõdɨ ˈfikɐ ɐ (ɨ)ʃtɐˈsɐ̃w̃/";"/ON-dih FEE-ka a sh-ta-ˈsown~/";"";""
"Πού είναι η τουαλέτα;";"Onde fica a casa de banho?";[sound:ptPT_NAVIGATION_RESTROOM.mp3];"/ˈõdɨ ˈfikɐ ɐ ˈkazɐ ðɨ ˈbɐɲu/";"/ON-dih FEE-ka a ˈka-za dɨ ˈba-nyu/";"";""
"Πού είναι το κοντινότερο ΑΤΜ;";"Onde há multibanco?";[sound:ptPT_NAVIGATION_ATM.mp3];"/ˈõdɨ a muliˈtibɐ̃ku/";"/ON-dih a mul-ee-ˈtee-ban-ku/";"";""
"Πόσο κάνει αυτό;";"Quanto é?";[sound:ptPT_SHOPPING_HOW_MUCH.mp3];"/ˈkwɐ̃tu ɛ/";"/ˈkwan-too eh?/";"";""
"Μπορώ με κάρτα;";"Posso pagar com cartão?";[sound:ptPT_SHOPPING_PAY_BY_CARD.mp3];"/ˈpɔsu pɐˈɡaɾ kõ kɐɾˈtɐ̃w̃/";"/ˈpo-su pa-ˈgar kong kar-ˈtawn~?/";"";""
"Με μετρητά.";"Pago em dinheiro.";[sound:ptPT_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɡu ẽ dɨˈɲejɾu/";"/ˈpa-go eng dɨ-ˈnye-ru/";"";""
"Βοήθεια!";"Socorro!";[sound:ptPT_EMERGENCY_HELP.mp3];"/suˈkoʁu/";"/su-ˈko-hru/";"";""
"Χρειάζομαι γιατρό!";"Preciso de um médico!";[sound:ptPT_EMERGENCY_DOCTOR.mp3];"/pɾɨˈsiz(u) ð(ɨ) ũ ˈmɛðiku/";"/prɨ-ˈsi-zu d(ɨ) oon ˈme-dee-ku/";"";""
"Καλέστε την αστυνομία!";"Chame a polícia!";[sound:ptPT_EMERGENCY_POLICE.mp3];"/ˈʃɐmɨ ɐ puˈlisjɐ/";"/SHA-mi a po-ˈlee-sya/";"";""
"ένα";"um";[sound:ptPT_NUMBER_ONE.mp3];"/ũ/";"/oong~/";"";""
"δύο";"dois";[sound:ptPT_NUMBER_TWO.mp3];"/ˈdojʃ/";"/ˈdoysh/";"";""
"τρία";"três";[sound:ptPT_NUMBER_THREE.mp3];"/tɾeʃ/";"/trehsh/";"";""
"τέσσερα";"quatro";[sound:ptPT_NUMBER_FOUR.mp3];"/ˈkwatɾu/";"/ˈkwa-tru/";"";""
"πέντε";"cinco";[sound:ptPT_NUMBER_FIVE.mp3];"/ˈsĩku/";"/ˈseen-ku/";"";""
"έξι";"seis";[sound:ptPT_NUMBER_SIX.mp3];"/sejʃ/";"/saysh/";"";""
"εφτά";"sete";[sound:ptPT_NUMBER_SEVEN.mp3];"/ˈsɛt(ɨ)/";"/ˈseh-t(uh)/";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «επτά».";""
"οχτώ";"oito";[sound:ptPT_NUMBER_EIGHT.mp3];"/ˈojtu/";"/ˈoy-tu/";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «οκτώ».";""
"εννιά";"nove";[sound:ptPT_NUMBER_NINE.mp3];"/ˈnɔv(ɨ)/";"/ˈno-v(uh)/";"Πιο επίσημο: «εννέα».";""
"δέκα";"dez";[sound:ptPT_NUMBER_TEN.mp3];"/dɛʃ/";"/desh/";"";""
