Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"Guten Tag!";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"Neutral; passt den ganzen Tag.";"Gün boyu kullanılabilir, samimi selam."
"Tschüss!";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"Gern!";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Teşekküre cevap (= “bir şey değil”)."
"Danke!";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"Vielen Dank!";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"Ja";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"Nein";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"Entschuldigung";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"";""
"Ich heiße …";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"Freut mich!";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"Wie heißt du?";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";"Nazik: “Adınız ne?”"
"Ich versteh’s nicht.";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"Sprechen Sie Englisch?";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"Ein bisschen langsamer, bitte.";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
"Mein Deutsch ist noch nicht so gut.";"Türkçem çok iyi değil.";[sound:trTR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ˈtyɾkt͡ʃɛm t͡ʃok iˈji deˈjil/";"/ˈtyurk-chem chok ee-yee de-ˈyil/";"";""
"Wie sagt man … auf Deutsch?";"… Türkçe nasıl denir?";[sound:trTR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/tyɾkt͡ʃe nɯˈsɯl deˈniɾ/";"/tyurk-che na-ˈsul de-ˈnir/";"";""
"Speisekarte, bitte.";"Menü lütfen.";[sound:trTR_REQUEST_MENU.mp3];"/ˈmɛnʏ ˈlytfen/";"/ˈme-ny ˈlyt-fen/";"";""
"Kaffee";"Kahve";[sound:trTR_REQUEST_COFFEE.mp3];"/ˈkahve/";"/ˈkah-ve/";"";""
"Wasser";"Su";[sound:trTR_REQUEST_WATER.mp3];"/su/";"/su/";"";""
"bitte";"lütfen";[sound:trTR_REQUEST_PLEASE.mp3];"/ˈlytfen/";"/ˈlyt-fen/";"Beim Bestellen/Bitten.";""
"Die Rechnung, bitte.";"Hesap lütfen.";[sound:trTR_REQUEST_BILL.mp3];"/heˈsap ˈlytfen/";"/he-ˈsap ˈlyt-fen/";"";""
"Ich bin Vegetarier(in).";"Vejetaryenim.";[sound:trTR_DINING_VEGETARIAN.mp3];"/ved͡ʒetaɾˈjenim/";"/ve-je-tar-ˈye-nim/";"„-in“ für weiblich.";""
"War sehr lecker!";"Çok lezzetliydi!";[sound:trTR_DINING_DELICIOUS.mp3];"/t͡ʃok lezˈzetlijdi/";"/chok lez-ˈzet-lee-y-dee/";"";""
"Schmeckt richtig gut!";"Harika olmuş!";[sound:trTR_DINING_YUMMY.mp3];"/haˈɾika ˈolmuʃ/";"/ha-ˈri-ka ˈol-mush/";"";""
"Wo ist der Bahnhof?";"Tren istasyonu nerede?";[sound:trTR_NAVIGATION_TRAIN_STATION.mp3];"/tɾɛn istaˈsjonu neˈɾede/";"/tren is-ta-syo-nu ne-ˈre-de/";"";""
