Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"Γεια!";[sound:elGR_GREETING_HELLO.mp3];"/ʝa/";"/ya/";"";""
"Guten Tag!";"Γεια σας!";[sound:elGR_GREETING_GOOD_DAY.mp3];"/ʝa sas/";"/ya sas/";"Neutral; passt den ganzen Tag.";"Ουδέτερο, ταιριάζει όλη μέρα."
"Tschüss!";"Τα λέμε!";[sound:elGR_FAREWELL_BYE.mp3];"/ta ˈleme/";"/ta ˈle-me/";"";""
"Gern!";"Παρακαλώ!";[sound:elGR_POLITENESS_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»)."
"Danke!";"Ευχαριστώ!";[sound:elGR_POLITENESS_THANK_YOU.mp3];"/efxariˈsto/";"/ef-ha-ris-ˈto/";"";""
"Vielen Dank!";"Ευχαριστώ πολύ!";[sound:elGR_POLITENESS_MANY_THANKS.mp3];"/efxariˈsto poˈli/";"/ef-ha-ris-ˈto po-ˈli/";"";""
"Ja";"Ναι";[sound:elGR_CONFIRMATION_YES.mp3];"/ne/";"/ne/";"";""
"Nein";"Όχι";[sound:elGR_CONFIRMATION_NO.mp3];"/ˈoçi/";"/ˈo-chi/";"";""
"Entschuldigung";"Συγγνώμη";[sound:elGR_POLITENESS_EXCUSE_ME.mp3];"/siɣˈnomi/";"/sig-ˈno-mi/";"";"Για «με συγχωρείτε» ή «σόρι»."
"Ich heiße …";"Με λένε …";[sound:elGR_INTRODUCTION_MY_NAME.mp3];"/me ˈlene/";"/me ˈle-ne/";"";""
"Freut mich!";"Χάρηκα!";[sound:elGR_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈxaɾika/";"/ˈxa-ri-ka/";"";""
"Wie heißt du?";"Πώς σε λένε;";[sound:elGR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/pos se ˈlene/";"/pos se ˈle-ne/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";"Ευγενικό πληθυντικό: «Πώς σας λένε;»"
"Ich versteh’s nicht.";"Δεν καταλαβαίνω.";[sound:elGR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ðen kata.laˈveno/";"/then ka-ta-la-ˈve-no/";"";""
"Sprechen Sie Englisch?";"Μιλάτε Αγγλικά;";[sound:elGR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/miˈlate aɣliˈka/";"/mi-ˈla-te a-ghli-ˈka/";"";""
"Ein bisschen langsamer, bitte.";"Λίγο πιο αργά, παρακαλώ.";[sound:elGR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈliɣo pço arˈɣa, parakaˈlo/";"/ˈlee-go pyo ar-ˈga, pa-ra-ka-ˈlo/";"";""
"Mein Deutsch ist noch nicht so gut.";"Τα Ελληνικά μου δεν είναι πολύ καλά.";[sound:elGR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ta eliniˈka mu ðen ˈine poˈli kaˈla/";"/ta e-li-ni-ˈka mu then ˈi-ne po-ˈli ka-ˈla/";"";""
"Wie sagt man … auf Deutsch?";"Πώς το λέτε στα Ελληνικά;";[sound:elGR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/pos to ˈlete sta eliniˈka/";"/pos to ˈle-te sta e-li-ni-ˈka/";"";""
"Speisekarte, bitte.";"Κατάλογο, παρακαλώ.";[sound:elGR_REQUEST_MENU.mp3];"/kaˈtaloɣo, parakaˈlo/";"/ka-ˈta-lo-go, pa-ra-ka-ˈlo/";"";""
