Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Oi!";[sound:ptBR_GREETING_HELLO.mp3];"/oj/";"/oy/";"";""
"Selam!";"Olá!";[sound:ptBR_GREETING_GOOD_DAY.mp3];"/oˈla/";"/o-ˈla/";"Gün boyu kullanılabilir, samimi selam.";""
"Görüşürüz!";"Tchau!";[sound:ptBR_FAREWELL_BYE.mp3];"/tʃaw/";"/chow/";"";""
"Rica ederim";"Imagina!";[sound:ptBR_POLITENESS_PLEASE.mp3];"/imaˈʒina/";"/ee-ma-ˈzhee-na/";"Teşekküre cevap (= “bir şey değil”).";"Very common reply to “obrigado(a)”. Also “De nada!”."
"Teşekkürler!";"Obrigado!";[sound:ptBR_POLITENESS_THANK_YOU.mp3];"/oβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Female says “Obrigada!”."
"Çok teşekkürler!";"Muito obrigado!";[sound:ptBR_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu oβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Evet";"Sim";[sound:ptBR_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Hayır";"Não";[sound:ptBR_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/nah-oong~/";"";""
"Pardon";"Com licença";[sound:ptBR_POLITENESS_EXCUSE_ME.mp3];"/kõ liˈsẽsɐ/";"/koh lee-ˈsen-sa/";"";""
"Ben …";"Eu sou …";[sound:ptBR_INTRODUCTION_MY_NAME.mp3];"/ew sow/";"/eh-oo soh/";"";""
"Memnun oldum!";"Prazer!";[sound:ptBR_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾaˈzeɾ/";"/pra-ˈzehr/";"";""
"Adın ne?";"Como você se chama?";[sound:ptBR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu voˈse si ˈʃɐmɐ/";"/ˈko-moo vo-ˈseh si ˈsha-ma/";"Nazik: “Adınız ne?”";""
"Anlamadım.";"Não entendi.";[sound:ptBR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ ẽtẽˈdʒi/";"/nau en-ten-JEE/";"";""
