Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Oi!";"Hi!";[sound:enUS_GREETING_HELLO.mp3];"/haɪ/";"/hai/";"";""
"Olá!";"Hello!";[sound:enUS_GREETING_GOOD_DAY.mp3];"/həˈloʊ/";"/huh-ˈloh/";"";""
"Tchau!";"Bye!";[sound:enUS_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"Imagina!";"No problem!";[sound:enUS_POLITENESS_PLEASE.mp3];"/noʊ ˈprɑbləm/";"/noh ˈprah-bləm/";"Very common reply to “obrigado(a)”. Also “De nada!”.";"Reply to “thanks” (= “you’re welcome”)."
"Obrigado!";"Thanks!";[sound:enUS_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"Female says “Obrigada!”.";""
"Muito obrigado!";"Thanks so much!";[sound:enUS_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks soʊ ˈmʌtʃ/";"/thanks soh ˈmuhch/";"";""
"Sim";"Yes";[sound:enUS_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Não";"No";[sound:enUS_CONFIRMATION_NO.mp3];"/noʊ/";"/noh/";"";""
"Com licença";"Excuse me";[sound:enUS_POLITENESS_EXCUSE_ME.mp3];"/ɪkˈskjuz mi/";"/ik-ˈskyooz mee/";"";""
"Eu sou …";"I'm …";[sound:enUS_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Prazer!";"Nice to meet you!";[sound:enUS_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmit ju/";"/nais tə ˈmeet yoo/";"";""
"Como você se chama?";"What's your name?";[sound:enUS_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wʌts jɚ ˈneɪm/";"/wuts yer ˈnaim/";"";""
"Não entendi.";"I don't get it.";[sound:enUS_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ doʊnt ˈɡɛt ɪt/";"/ai dont GET it/";"";""
"Você fala inglês?";"Do you speak English?";[sound:enUS_COMMUNICATION_SPEAK_ENGLISH.mp3];"/du ju spik ˈɪŋɡlɪʃ/";"/doo yoo speek ˈing-glish/";"";""
"Pode falar mais devagar, por favor?";"Could you speak a little slower, please?";[sound:enUS_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd ju spik ə ˈlɪtəl ˈsloʊɚ, pliz/";"/kud yoo speek ə ˈli-təl ˈsloh-er, pleez/";"";""
"Meu português não é muito bom.";"My English isn't great.";[sound:enUS_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪzənt ɡreɪt/";"/mai ˈing-glish ˈiz-ənt grate/";"";""
"Como se diz … em português?";"How do you say … in English?";[sound:enUS_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ də ju seɪ ɪn ˈɪŋɡlɪʃ/";"/how də yoo say in ˈing-glish/";"";""
"Cardápio, por favor.";"Menu, please.";[sound:enUS_REQUEST_MENU.mp3];"/ˈmɛnju pliz/";"/MEN-yoo pleez/";"";""
"Café";"Coffee";[sound:enUS_REQUEST_COFFEE.mp3];"/ˈkɔfi/";"/ˈkaw-fee/";"";""
"Água";"Water";[sound:enUS_REQUEST_WATER.mp3];"/ˈwɑɾɚ/";"/ˈwah-der/";"";""
"por favor";"please";[sound:enUS_REQUEST_PLEASE.mp3];"/pliz/";"/pleez/";"";"Used when asking for things."
"A conta, por favor.";"Can we get the check, please?";[sound:enUS_REQUEST_BILL.mp3];"/kæn wi ɡɛt ðə tʃɛk, pliz/";"/kan wee get thuh chek, pleez/";"";""
"Sou vegetariano/a.";"I'm vegetarian.";[sound:enUS_DINING_VEGETARIAN.mp3];"/aɪm ˌvɛdʒəˈtɛriən/";"/aim vej-ə-ˈteh-ree-ən/";"“-a” for female.";""
"Tava uma delícia!";"That was delicious!";[sound:enUS_DINING_DELICIOUS.mp3];"/ðæt wəz dɪˈlɪʃəs/";"/that wuz di-ˈli-shəs/";"";""
"Tá muito bom!";"This is really good!";[sound:enUS_DINING_YUMMY.mp3];"/ðɪs ɪz ˈrɪəli ɡʊd/";"/this iz ˈree-ə-lee gud/";"";""
"Onde fica a estação?";"Where's the train station?";[sound:enUS_NAVIGATION_TRAIN_STATION.mp3];"/wɛrz ðə treɪn ˈsteɪʃən/";"/wairz thuh trayn ˈstay-shən/";"";""
"Onde fica o banheiro?";"Where's the restroom?";[sound:enUS_NAVIGATION_RESTROOM.mp3];"/wɛrz ðə ˈrɛsˌtrum/";"/wairz thuh REST-room/";"";""
"Onde tem caixa eletrônico?";"Where's the nearest ATM?";[sound:enUS_NAVIGATION_ATM.mp3];"/wɛrz ðə ˈnɪrɪst ˌeɪtiˈɛm/";"/wairz thuh NEER-ist A-T-M/";"";""
"Quanto é?";"How much is this?";[sound:enUS_SHOPPING_HOW_MUCH.mp3];"/haʊ mʌtʃ ɪz ðɪs/";"/how much iz this/";"";""
"Posso pagar com cartão?";"Can I pay with a card?";[sound:enUS_SHOPPING_PAY_BY_CARD.mp3];"/kæn aɪ peɪ wɪð ə kɑrd/";"/kan ai pay with uh kard/";"";""
"Pago em dinheiro.";"I'll pay in cash.";[sound:enUS_SHOPPING_PAY_BY_CASH.mp3];"/aɪl peɪ ɪn kæʃ/";"/ail pay in kash/";"";""
