Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"¡Buenas!";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"Saludo coloquial que funciona todo el día.";"Gün boyu kullanılabilir, samimi selam."
"¡Chao!";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"Con gusto";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia.";"Teşekküre cevap (= “bir şey değil”)."
"Gracias";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"¡Mil gracias!";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"Sí";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"No";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"Perdón";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"";""
"Me llamo …";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"¡Mucho gusto!";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"¿Cómo te llamas?";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"Formal: «¿Cómo se llama?»";"Nazik: “Adınız ne?”"
"No entiendo.";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"¿Habla inglés?";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"¿Puede hablar un poquito más despacio, porfa?";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
"Mi español no es muy bueno.";"Türkçem çok iyi değil.";[sound:trTR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ˈtyɾkt͡ʃɛm t͡ʃok iˈji deˈjil/";"/ˈtyurk-chem chok ee-yee de-ˈyil/";"";""
"¿Cómo se dice … en español?";"… Türkçe nasıl denir?";[sound:trTR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/tyɾkt͡ʃe nɯˈsɯl deˈniɾ/";"/tyurk-che na-ˈsul de-ˈnir/";"";""
"La carta, porfa.";"Menü lütfen.";[sound:trTR_REQUEST_MENU.mp3];"/ˈmɛnʏ ˈlytfen/";"/ˈme-ny ˈlyt-fen/";"";""
"Café";"Kahve";[sound:trTR_REQUEST_COFFEE.mp3];"/ˈkahve/";"/ˈkah-ve/";"En Colombia el café negro se pide también como «tinto».";""
