Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"Buongiorno!";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"";"Gün boyu kullanılabilir, samimi selam."
"A dopo!";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"Prego!";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"Reply to “grazie”.";"Teşekküre cevap (= “bir şey değil”)."
"Grazie!";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"Grazie mille!";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"Sì";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"No";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"Scusa";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"Informal; polite: “Scusi”.";""
"Mi chiamo …";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"Piacere!";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"Come ti chiami?";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"";"Nazik: “Adınız ne?”"
"Non capisco.";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"Parla inglese?";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"Un po' più piano, per favore.";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
"Il mio italiano non è granché.";"Türkçem çok iyi değil.";[sound:trTR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ˈtyɾkt͡ʃɛm t͡ʃok iˈji deˈjil/";"/ˈtyurk-chem chok ee-yee de-ˈyil/";"";""
"Come si dice … in italiano?";"… Türkçe nasıl denir?";[sound:trTR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/tyɾkt͡ʃe nɯˈsɯl deˈniɾ/";"/tyurk-che na-ˈsul de-ˈnir/";"";""
"Il menù, per favore.";"Menü lütfen.";[sound:trTR_REQUEST_MENU.mp3];"/ˈmɛnʏ ˈlytfen/";"/ˈme-ny ˈlyt-fen/";"";""
"Caffè";"Kahve";[sound:trTR_REQUEST_COFFEE.mp3];"/ˈkahve/";"/ˈkah-ve/";"";""
"Acqua";"Su";[sound:trTR_REQUEST_WATER.mp3];"/su/";"/su/";"";""
"per favore";"lütfen";[sound:trTR_REQUEST_PLEASE.mp3];"/ˈlytfen/";"/ˈlyt-fen/";"";""
"Il conto, per favore.";"Hesap lütfen.";[sound:trTR_REQUEST_BILL.mp3];"/heˈsap ˈlytfen/";"/he-ˈsap ˈlyt-fen/";"";""
