Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hiya!";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"Hello!";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"Neutral greeting you can use all day.";""
"Bye!";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"No worries!";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"As a reply to “thanks” (= “you’re welcome”).";"Reply to “grazie”."
"Thanks!";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"";""
"Thanks a lot!";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"Yes";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"No";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"Sorry";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"Most common way to get someone’s attention in England.";"Informal; polite: “Scusi”."
"I'm …";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"Nice to meet you!";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"";""
"What's your name?";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"";""
"I don't get it.";"Non capisco.";[sound:itIT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/non kaˈpisko/";"/non ka-ˈpees-ko/";"";""
"Do you speak English?";"Parla inglese?";[sound:itIT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈparla iŋˈɡleze/";"/ˈpar-la ing-ˈle-ze/";"";""
"Could you speak a bit slower, please?";"Un po' più piano, per favore.";[sound:itIT_COMMUNICATION_SPEAK_SLOWER.mp3];"/um pɔ pjʊ ˈpjano per faˈvoːre/";"/oon po pyoo ˈpya-no, per fa-ˈvo-re/";"";""
"My English isn't great.";"Il mio italiano non è granché.";[sound:itIT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/il ˈmi.o italiˈaːno non ɛ ɡraŋˈke/";"/il ˈmee-o ee-ta-lya-no non eh gran-ˈkeh/";"";""
"How do you say … in English?";"Come si dice … in italiano?";[sound:itIT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkome si ˈdit͡ʃe in italiˈaːno/";"/ˈko-me see ˈdee-che in ee-ta-lya-no/";"";""
"Menu, please.";"Il menù, per favore.";[sound:itIT_REQUEST_MENU.mp3];"/il meˈnu per faˈvoːre/";"/eel me-ˈnu, per fa-ˈvo-re/";"";""
"Coffee";"Caffè";[sound:itIT_REQUEST_COFFEE.mp3];"/kafˈfɛ/";"/kaf-ˈfeh/";"";""
"Water";"Acqua";[sound:itIT_REQUEST_WATER.mp3];"/ˈakkwa/";"/ˈak-qua/";"";""
"please";"per favore";[sound:itIT_REQUEST_PLEASE.mp3];"/per faˈvoːre/";"/per fa-ˈvo-re/";"Used when asking for things.";""
"Could we get the bill, please?";"Il conto, per favore.";[sound:itIT_REQUEST_BILL.mp3];"/il ˈkonto per faˈvoːre/";"/eel ˈkon-to, per fa-ˈvo-re/";"";""
"I'm vegetarian.";"Sono vegetariano/a.";[sound:itIT_DINING_VEGETARIAN.mp3];"/ˈsoːno ved͡ʒetaˈrjano(a)/";"/ˈso-no ve-je-ta-ˈrya-no(-a)/";"";"“-a” for female."
"That was delicious!";"Era buonissimo!";[sound:itIT_DINING_DELICIOUS.mp3];"/ˈeːra bwoˈnisːimo/";"/ˈeh-ra bwo-ˈnee-see-mo/";"";""
"This is really tasty!";"È davvero buono!";[sound:itIT_DINING_YUMMY.mp3];"/ɛ davˈvɛro ˈbwɔno/";"/eh dav-ˈve-ro ˈbwo-no/";"";""
"Where's the train station?";"Dov’è la stazione?";[sound:itIT_NAVIGATION_TRAIN_STATION.mp3];"/doˈvɛ la statˈtsjoːne/";"/do-ˈveh la sta-ˈtsyo-ne/";"";""
"Where's the toilet?";"Dov’è il bagno?";[sound:itIT_NAVIGATION_RESTROOM.mp3];"/doˈvɛ il ˈbaɲɲo/";"/do-ˈveh il ˈban-nyo/";"“Toilet” is the usual word in the UK; “loo” is very informal.";""
