Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"Përshëndetje!";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"";"Gün boyu kullanılabilir, samimi selam."
"Tung!";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"S'ka gjë!";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"Casual “you’re welcome”.";"Teşekküre cevap (= “bir şey değil”)."
"Faleminderit!";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"Shumë faleminderit!";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"Po";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"Jo";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"Më fal";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"Polite plural: “Më falni”.";""
"Unë jam …";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"Gëzohem!";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"Si quhesh?";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"Polite: “Si quheni?”";"Nazik: “Adınız ne?”"
"S'e kuptoj.";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"Flisni anglisht?";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"Më ngadalë, ju lutem.";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
