"Hallo / Guten Tag (tagsüber)";"Allgemeine Begrüßung zwischen 10:00 und 17:00 Uhr.";"こんにちは";"konɲitɕiɰa";"Kon-ni-tschi-wa";"Guten Tag";"";"Die Standardbegrüßung. Wird nicht zu engen Freunden oder Familie gesagt (dort eher nur ""Nee"" oder Augenkontakt).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_hello_day.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Guten Morgen";"Bis ca. 10:00 Uhr.";"おはようございます";"ohajoː ɡozajmasɯ";"O-ha-joo go-sai-mass";"Guten Morgen";"";"Höflich und formell. Zu Freunden sagt man nur ""Ohayou"" (おはよう).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_hello_morning.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Guten Abend";"Ab Dämmerung.";"こんばんは";"kombanɰa";"Kom-ban-wa";"Guten Abend";"";"Wird beim Betreten von Orten am Abend verwendet.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_hello_evening.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Gute Nacht";"Vor dem Schlafengehen oder beim Abschied spät nachts.";"おやすみなさい";"ojasɯmi nasaj";"O-ja-ssu-mi na-sai";"Gute Nacht";"";"Freunde sagen oft nur ""Oyasumi"" (おやすみ).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_goodnight.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Tschüss (unter Freunden)";"Lockerer Abschied.";"じゃ、また";"dʑaː mata";"Dschaa, ma-ta";"Bis dann / Tschüss";"";"Wörtlich ""Also, bis wieder"". Vermeiden Sie ""Sayounara"" (klingt oft endgültig oder wie in der Schule).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_bye_casual.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Auf Wiedersehen (formell)";"Beim Verlassen eines Büros, Meetings oder höflichen Gesprächs.";"失礼します";"ɕitsɯɾeː ɕimasɯ";"Schi-tsu-ree schi-mass";"Ich bitte um Entschuldigung (fürs Gehen)";"";"Standardformel, wenn man einen Raum verlässt oder ein Telefonat beendet.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_bye_formal.mp3]";"";"";"lang:ja-JP L1:de-DE cat:greeting type:single"
"Danke (höflich)";"Universell einsetzbar in Läden, Restaurants, zu Fremden.";"ありがとうございます";"aɾiɡatoː ɡozajmasɯ";"A-ri-ga-too go-sai-mass";"Vielen Dank";"";"Lassen Sie ""gozaimasu"" nur bei Freunden weg (""Arigatou"" / ありがとう).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_thanks_main.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"Entschuldigung! (Kellner rufen / Vorbeigehen)";"Das wichtigste Wort für Reisende in Japan.";"すみません";"sɯmimasen";"Ssu-mi-ma-sen";"Verzeihung / Hallo (Aufmerksamkeit)";"";"Nutzen Sie dies, um Kellner zu rufen, sich im Gedränge Platz zu machen oder sich leicht zu entschuldigen.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_excuse_me_attention.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"Es tut mir leid (für Fehler)";"Wenn man jemanden angerempelt hat oder zu spät kommt.";"ごめんなさい";"ɡomen nasaj";"Go-men na-sai";"Entschuldigung / Sorry";"";"Persönlicher und direkter als ""Sumimasen"".";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_sorry_deep.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"Ja";"Zustimmung oder Bestätigung, dass man zuhört.";"はい";"hai";"Hai";"Ja";"";"Wird oft kurz und knackig ausgesprochen.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_yes_polite.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
