Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"Salut !";[sound:frFR_GREETING_HELLO.mp3];"/saly/";"/sa-ly/";"";""
"Γεια σας!";"Bonjour !";[sound:frFR_GREETING_GOOD_DAY.mp3];"/bɔ̃ʒuʁ/";"/bon-ˈʒur/";"Ουδέτερο, ταιριάζει όλη μέρα.";"Usable all daytime."
"Τα λέμε!";"À plus !";[sound:frFR_FAREWELL_BYE.mp3];"/a ply/";"/a plu/";"";""
"Παρακαλώ!";"De rien !";[sound:frFR_POLITENESS_PLEASE.mp3];"/də ʁjɛ̃/";"/də ryehn/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Reply to “merci”."
"Ευχαριστώ!";"Merci !";[sound:frFR_POLITENESS_THANK_YOU.mp3];"/mɛʁsi/";"/mer-see/";"";""
"Ευχαριστώ πολύ!";"Merci beaucoup !";[sound:frFR_POLITENESS_MANY_THANKS.mp3];"/mɛʁsi boˈku/";"/mer-see bo-ˈkoo/";"";""
"Ναι";"Oui";[sound:frFR_CONFIRMATION_YES.mp3];"/wi/";"/wee/";"";""
"Όχι";"Non";[sound:frFR_CONFIRMATION_NO.mp3];"/nɔ̃/";"/noh~/";"";""
"Συγγνώμη";"Pardon";[sound:frFR_POLITENESS_EXCUSE_ME.mp3];"/paʁdɔ̃/";"/par-don~/";"Για «με συγχωρείτε» ή «σόρι».";""
"Με λένε …";"Je m’appelle …";[sound:frFR_INTRODUCTION_MY_NAME.mp3];"/ʒə mapɛl/";"/zhə ma-pel/";"";""
"Χάρηκα!";"Enchanté(e) !";[sound:frFR_INTRODUCTION_NICE_TO_MEET.mp3];"/ɑ̃ʃɑ̃te/";"/on-shon-ˈteh/";"";"Add (e) if you’re female."
"Πώς σε λένε;";"Tu t’appelles comment ?";[sound:frFR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ty tapɛl kɔmɑ̃/";"/tu ta-pel ko-mon~/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";""
"Δεν καταλαβαίνω.";"Je comprends pas.";[sound:frFR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ʒə kɔ̃pʁɑ̃ pa/";"/zhə kon~-pran~ pa/";"";""
"Μιλάτε Αγγλικά;";"Vous parlez anglais ?";[sound:frFR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/vu paʁle ɑ̃ɡlɛ/";"/voo par-lay on-glay?/";"";""
"Λίγο πιο αργά, παρακαλώ.";"Plus lentement, s’il vous plaît.";[sound:frFR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ply lɑ̃tmɑ̃ sil vu plɛ/";"/plü lon~-tmon~ seel voo pleh/";"";""
"Τα Ελληνικά μου δεν είναι πολύ καλά.";"Je parle pas très bien français.";[sound:frFR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ʒə paʁl pa tʁɛ bjɛ̃ fʁɑ̃sɛ/";"/zhə parl pa tre byehn fron-seh/";"";""
"Πώς το λέτε στα Ελληνικά;";"Comment on dit … en français ?";[sound:frFR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/kɔmɑ̃ ɔ̃ di ɑ̃ fʁɑ̃sɛ/";"/ko-mon~ on dee on fron-seh?/";"";""
"Κατάλογο, παρακαλώ.";"La carte, s’il vous plaît.";[sound:frFR_REQUEST_MENU.mp3];"/la kaʁt sil vu plɛ/";"/la kart seel voo pleh/";"";""
"Καφέ";"Café";[sound:frFR_REQUEST_COFFEE.mp3];"/kafe/";"/ka-feh/";"";""
"Νερό";"Eau";[sound:frFR_REQUEST_WATER.mp3];"/o/";"/oh/";"";""
"παρακαλώ";"s’il vous plaît";[sound:frFR_REQUEST_PLEASE.mp3];"/sil vu plɛ/";"/seel voo pleh/";"Χρήση όταν ζητάμε κάτι.";""
"Λογαριασμό, παρακαλώ.";"L’addition, s’il vous plaît.";[sound:frFR_REQUEST_BILL.mp3];"/ladisjɔ̃ sil vu plɛ/";"/la-dee-syon~ seel voo pleh/";"";""
"Είμαι χορτοφάγος.";"Je suis végétarien(ne).";[sound:frFR_DINING_VEGETARIAN.mp3];"/ʒə sɥi veʒetaʁjɛn/";"/zhə swee ve-zhe-ta-ryen/";"Για γυναίκα: «χορτοφάγα».";"Add -(ne) if female."
"Ήταν πεντανόστιμο!";"C’était délicieux !";[sound:frFR_DINING_DELICIOUS.mp3];"/sete delisjø/";"/seh-teh de-lee-syuh/";"";""
"Είναι τέλειο!";"C’est trop bon !";[sound:frFR_DINING_YUMMY.mp3];"/se tʁo bɔ̃/";"/seh tro bon~/";"";""
"Πού είναι ο σταθμός;";"Où est la gare ?";[sound:frFR_NAVIGATION_TRAIN_STATION.mp3];"/u ɛ la ɡaʁ/";"/oo eh la gar/";"";""
"Πού είναι η τουαλέτα;";"Où sont les toilettes ?";[sound:frFR_NAVIGATION_RESTROOM.mp3];"/u sɔ̃ le twalɛt/";"/oo son~ lay twa-let/";"";""
"Πού είναι το κοντινότερο ΑΤΜ;";"Où est le distributeur ?";[sound:frFR_NAVIGATION_ATM.mp3];"/u ɛ lə distʁibyˈtœʁ/";"/oo eh lə dis-tri-bü-ˈtœr/";"";""
"Πόσο κάνει αυτό;";"C’est combien ?";[sound:frFR_SHOPPING_HOW_MUCH.mp3];"/se kɔ̃bjɛ̃/";"/seh kon~-byehn?/";"";""
"Μπορώ με κάρτα;";"Je peux payer par carte ?";[sound:frFR_SHOPPING_PAY_BY_CARD.mp3];"/ʒə pø peje paʁ kaʁt/";"/zhə pœ pay-yay par kart?/";"";""
"Με μετρητά.";"Je paie en espèces.";[sound:frFR_SHOPPING_PAY_BY_CASH.mp3];"/ʒə pɛ ɑ̃n ɛspɛs/";"/zhə peh on es-pess/";"";""
"Βοήθεια!";"Au secours !";[sound:frFR_EMERGENCY_HELP.mp3];"/o səkuʁ/";"/oh sə-ˈkoor/";"";""
"Χρειάζομαι γιατρό!";"J’ai besoin d’un médecin !";[sound:frFR_EMERGENCY_DOCTOR.mp3];"/ʒe bəzwɛ̃ dœ̃ medsɛ̃/";"/zhay bə-zwehn dun med-senh/";"";""
"Καλέστε την αστυνομία!";"Appelez la police !";[sound:frFR_EMERGENCY_POLICE.mp3];"/ap(ə)le la pɔlis/";"/a-peh-lay la po-lees/";"";""
"ένα";"un";[sound:frFR_NUMBER_ONE.mp3];"/œ̃/";"/uhn~/";"";""
"δύο";"deux";[sound:frFR_NUMBER_TWO.mp3];"/dø/";"/døh/";"";""
"τρία";"trois";[sound:frFR_NUMBER_THREE.mp3];"/tʁwa/";"/trwah/";"";""
"τέσσερα";"quatre";[sound:frFR_NUMBER_FOUR.mp3];"/katʁ/";"/katr/";"";""
"πέντε";"cinq";[sound:frFR_NUMBER_FIVE.mp3];"/sɛ̃k/";"/sank~/";"";""
"έξι";"six";[sound:frFR_NUMBER_SIX.mp3];"/sis/";"/sees/";"";""
"εφτά";"sept";[sound:frFR_NUMBER_SEVEN.mp3];"/sɛt/";"/set/";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «επτά».";""
"οχτώ";"huit";[sound:frFR_NUMBER_EIGHT.mp3];"/ɥit/";"/hweet/";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «οκτώ».";""
"εννιά";"neuf";[sound:frFR_NUMBER_NINE.mp3];"/nœf/";"/nœf/";"Πιο επίσημο: «εννέα».";""
"δέκα";"dix";[sound:frFR_NUMBER_TEN.mp3];"/dis/";"/dees/";"";""
