Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Hiya!";[sound:enGB_GREETING_HELLO.mp3];"/ˈhaɪjə/";"/ˈhai-yə/";"";""
"Selam!";"Hello!";[sound:enGB_GREETING_GOOD_DAY.mp3];"/həˈləʊ/";"/hə-ˈloh/";"Gün boyu kullanılabilir, samimi selam.";"Neutral greeting you can use all day."
"Görüşürüz!";"Bye!";[sound:enGB_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"Rica ederim";"No worries!";[sound:enGB_POLITENESS_PLEASE.mp3];"/nəʊ ˈwʌriz/";"/noh ˈwuh-reez/";"Teşekküre cevap (= “bir şey değil”).";"As a reply to “thanks” (= “you’re welcome”)."
"Teşekkürler!";"Thanks!";[sound:enGB_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Çok teşekkürler!";"Thanks a lot!";[sound:enGB_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks ə ˈlɒt/";"/thanks ə ˈlot/";"";""
"Evet";"Yes";[sound:enGB_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Hayır";"No";[sound:enGB_CONFIRMATION_NO.mp3];"/nəʊ/";"/noh/";"";""
"Pardon";"Sorry";[sound:enGB_POLITENESS_EXCUSE_ME.mp3];"/ˈsɒri/";"/ˈso-ree/";"";"Most common way to get someone’s attention in England."
"Ben …";"I'm …";[sound:enGB_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Memnun oldum!";"Nice to meet you!";[sound:enGB_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmiːt juː/";"/nais tə ˈmeet yoo/";"";""
"Adın ne?";"What's your name?";[sound:enGB_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wɒts jɔː ˈneɪm/";"/wots yaw ˈnaim/";"Nazik: “Adınız ne?”";""
"Anlamadım.";"I don't get it.";[sound:enGB_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ dəʊnt ɡet ɪt/";"/ai dont get it/";"";""
"İngilizce biliyor musunuz?";"Do you speak English?";[sound:enGB_COMMUNICATION_SPEAK_ENGLISH.mp3];"/dʊ juː spiːk ˈɪŋɡlɪʃ/";"/du yoo speek ˈing-glish/";"";""
"Biraz daha yavaş konuşur musunuz, lütfen?";"Could you speak a bit slower, please?";[sound:enGB_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd juː spiːk ə bɪt ˈsləʊə, pliːz/";"/kud yoo speek ə bit ˈsloh-ə, pleez/";"";""
"Türkçem çok iyi değil.";"My English isn't great.";[sound:enGB_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪz(ə)nt ɡreɪt/";"/mai ˈing-glish ˈiz-nt grate/";"";""
