Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Γεια!";[sound:elGR_GREETING_HELLO.mp3];"/ʝa/";"/ya/";"";""
"Selam!";"Γεια σας!";[sound:elGR_GREETING_GOOD_DAY.mp3];"/ʝa sas/";"/ya sas/";"Gün boyu kullanılabilir, samimi selam.";"Ουδέτερο, ταιριάζει όλη μέρα."
"Görüşürüz!";"Τα λέμε!";[sound:elGR_FAREWELL_BYE.mp3];"/ta ˈleme/";"/ta ˈle-me/";"";""
"Rica ederim";"Παρακαλώ!";[sound:elGR_POLITENESS_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"Teşekküre cevap (= “bir şey değil”).";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»)."
"Teşekkürler!";"Ευχαριστώ!";[sound:elGR_POLITENESS_THANK_YOU.mp3];"/efxariˈsto/";"/ef-ha-ris-ˈto/";"";""
"Çok teşekkürler!";"Ευχαριστώ πολύ!";[sound:elGR_POLITENESS_MANY_THANKS.mp3];"/efxariˈsto poˈli/";"/ef-ha-ris-ˈto po-ˈli/";"";""
"Evet";"Ναι";[sound:elGR_CONFIRMATION_YES.mp3];"/ne/";"/ne/";"";""
"Hayır";"Όχι";[sound:elGR_CONFIRMATION_NO.mp3];"/ˈoçi/";"/ˈo-chi/";"";""
"Pardon";"Συγγνώμη";[sound:elGR_POLITENESS_EXCUSE_ME.mp3];"/siɣˈnomi/";"/sig-ˈno-mi/";"";"Για «με συγχωρείτε» ή «σόρι»."
"Ben …";"Με λένε …";[sound:elGR_INTRODUCTION_MY_NAME.mp3];"/me ˈlene/";"/me ˈle-ne/";"";""
"Memnun oldum!";"Χάρηκα!";[sound:elGR_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈxaɾika/";"/ˈxa-ri-ka/";"";""
"Adın ne?";"Πώς σε λένε;";[sound:elGR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/pos se ˈlene/";"/pos se ˈle-ne/";"Nazik: “Adınız ne?”";"Ευγενικό πληθυντικό: «Πώς σας λένε;»"
"Anlamadım.";"Δεν καταλαβαίνω.";[sound:elGR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ðen kata.laˈveno/";"/then ka-ta-la-ˈve-no/";"";""
"İngilizce biliyor musunuz?";"Μιλάτε Αγγλικά;";[sound:elGR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/miˈlate aɣliˈka/";"/mi-ˈla-te a-ghli-ˈka/";"";""
"Biraz daha yavaş konuşur musunuz, lütfen?";"Λίγο πιο αργά, παρακαλώ.";[sound:elGR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈliɣo pço arˈɣa, parakaˈlo/";"/ˈlee-go pyo ar-ˈga, pa-ra-ka-ˈlo/";"";""
"Türkçem çok iyi değil.";"Τα Ελληνικά μου δεν είναι πολύ καλά.";[sound:elGR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ta eliniˈka mu ðen ˈine poˈli kaˈla/";"/ta e-li-ni-ˈka mu then ˈi-ne po-ˈli ka-ˈla/";"";""
"… Türkçe nasıl denir?";"Πώς το λέτε στα Ελληνικά;";[sound:elGR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/pos to ˈlete sta eliniˈka/";"/pos to ˈle-te sta e-li-ni-ˈka/";"";""
"Menü lütfen.";"Κατάλογο, παρακαλώ.";[sound:elGR_REQUEST_MENU.mp3];"/kaˈtaloɣo, parakaˈlo/";"/ka-ˈta-lo-go, pa-ra-ka-ˈlo/";"";""
"Kahve";"Καφέ";[sound:elGR_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Su";"Νερό";[sound:elGR_REQUEST_WATER.mp3];"/neˈro/";"/ne-ˈro/";"";""
"lütfen";"παρακαλώ";[sound:elGR_REQUEST_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"";"Χρήση όταν ζητάμε κάτι."
"Hesap lütfen.";"Λογαριασμό, παρακαλώ.";[sound:elGR_REQUEST_BILL.mp3];"/loɣarjazˈmo, parakaˈlo/";"/lo-ɣa-riaz-ˈmo, pa-ra-ka-ˈlo/";"";""
"Vejetaryenim.";"Είμαι χορτοφάγος.";[sound:elGR_DINING_VEGETARIAN.mp3];"/ˈime xortoˈfaʝos/";"/ˈi-me hor-to-ˈfa-yos/";"";"Για γυναίκα: «χορτοφάγα»."
"Çok lezzetliydi!";"Ήταν πεντανόστιμο!";[sound:elGR_DINING_DELICIOUS.mp3];"/ˈitan pendanˈostimo/";"/ˈi-tan pen-da-ˈno-sti-mo/";"";""
"Harika olmuş!";"Είναι τέλειο!";[sound:elGR_DINING_YUMMY.mp3];"/ˈine ˈtelio/";"/ˈi-ne ˈte-lio/";"";""
"Tren istasyonu nerede?";"Πού είναι ο σταθμός;";[sound:elGR_NAVIGATION_TRAIN_STATION.mp3];"/pu ˈine o staθˈmos/";"/pu ˈi-ne o stath-ˈmos/";"";""
"Tuvalet nerede?";"Πού είναι η τουαλέτα;";[sound:elGR_NAVIGATION_RESTROOM.mp3];"/pu ˈine i tuaˈleta/";"/pu ˈi-ne i tua-ˈle-ta/";"";""
