Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Γεια!";[sound:elGR_GREETING_HELLO.mp3];"/ʝa/";"/ya/";"";""
"Bonjour !";"Γεια σας!";[sound:elGR_GREETING_GOOD_DAY.mp3];"/ʝa sas/";"/ya sas/";"Usable all daytime.";"Ουδέτερο, ταιριάζει όλη μέρα."
"À plus !";"Τα λέμε!";[sound:elGR_FAREWELL_BYE.mp3];"/ta ˈleme/";"/ta ˈle-me/";"";""
"De rien !";"Παρακαλώ!";[sound:elGR_POLITENESS_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"Reply to “merci”.";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»)."
"Merci !";"Ευχαριστώ!";[sound:elGR_POLITENESS_THANK_YOU.mp3];"/efxariˈsto/";"/ef-ha-ris-ˈto/";"";""
"Merci beaucoup !";"Ευχαριστώ πολύ!";[sound:elGR_POLITENESS_MANY_THANKS.mp3];"/efxariˈsto poˈli/";"/ef-ha-ris-ˈto po-ˈli/";"";""
"Oui";"Ναι";[sound:elGR_CONFIRMATION_YES.mp3];"/ne/";"/ne/";"";""
"Non";"Όχι";[sound:elGR_CONFIRMATION_NO.mp3];"/ˈoçi/";"/ˈo-chi/";"";""
"Pardon";"Συγγνώμη";[sound:elGR_POLITENESS_EXCUSE_ME.mp3];"/siɣˈnomi/";"/sig-ˈno-mi/";"";"Για «με συγχωρείτε» ή «σόρι»."
"Je m’appelle …";"Με λένε …";[sound:elGR_INTRODUCTION_MY_NAME.mp3];"/me ˈlene/";"/me ˈle-ne/";"";""
"Enchanté(e) !";"Χάρηκα!";[sound:elGR_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈxaɾika/";"/ˈxa-ri-ka/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"Πώς σε λένε;";[sound:elGR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/pos se ˈlene/";"/pos se ˈle-ne/";"";"Ευγενικό πληθυντικό: «Πώς σας λένε;»"
"Je comprends pas.";"Δεν καταλαβαίνω.";[sound:elGR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ðen kata.laˈveno/";"/then ka-ta-la-ˈve-no/";"";""
"Vous parlez anglais ?";"Μιλάτε Αγγλικά;";[sound:elGR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/miˈlate aɣliˈka/";"/mi-ˈla-te a-ghli-ˈka/";"";""
"Plus lentement, s’il vous plaît.";"Λίγο πιο αργά, παρακαλώ.";[sound:elGR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈliɣo pço arˈɣa, parakaˈlo/";"/ˈlee-go pyo ar-ˈga, pa-ra-ka-ˈlo/";"";""
"Je parle pas très bien français.";"Τα Ελληνικά μου δεν είναι πολύ καλά.";[sound:elGR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ta eliniˈka mu ðen ˈine poˈli kaˈla/";"/ta e-li-ni-ˈka mu then ˈi-ne po-ˈli ka-ˈla/";"";""
"Comment on dit … en français ?";"Πώς το λέτε στα Ελληνικά;";[sound:elGR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/pos to ˈlete sta eliniˈka/";"/pos to ˈle-te sta e-li-ni-ˈka/";"";""
"La carte, s’il vous plaît.";"Κατάλογο, παρακαλώ.";[sound:elGR_REQUEST_MENU.mp3];"/kaˈtaloɣo, parakaˈlo/";"/ka-ˈta-lo-go, pa-ra-ka-ˈlo/";"";""
"Café";"Καφέ";[sound:elGR_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Eau";"Νερό";[sound:elGR_REQUEST_WATER.mp3];"/neˈro/";"/ne-ˈro/";"";""
"s’il vous plaît";"παρακαλώ";[sound:elGR_REQUEST_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"";"Χρήση όταν ζητάμε κάτι."
"L’addition, s’il vous plaît.";"Λογαριασμό, παρακαλώ.";[sound:elGR_REQUEST_BILL.mp3];"/loɣarjazˈmo, parakaˈlo/";"/lo-ɣa-riaz-ˈmo, pa-ra-ka-ˈlo/";"";""
"Je suis végétarien(ne).";"Είμαι χορτοφάγος.";[sound:elGR_DINING_VEGETARIAN.mp3];"/ˈime xortoˈfaʝos/";"/ˈi-me hor-to-ˈfa-yos/";"Add -(ne) if female.";"Για γυναίκα: «χορτοφάγα»."
"C’était délicieux !";"Ήταν πεντανόστιμο!";[sound:elGR_DINING_DELICIOUS.mp3];"/ˈitan pendanˈostimo/";"/ˈi-tan pen-da-ˈno-sti-mo/";"";""
"C’est trop bon !";"Είναι τέλειο!";[sound:elGR_DINING_YUMMY.mp3];"/ˈine ˈtelio/";"/ˈi-ne ˈte-lio/";"";""
"Où est la gare ?";"Πού είναι ο σταθμός;";[sound:elGR_NAVIGATION_TRAIN_STATION.mp3];"/pu ˈine o staθˈmos/";"/pu ˈi-ne o stath-ˈmos/";"";""
"Où sont les toilettes ?";"Πού είναι η τουαλέτα;";[sound:elGR_NAVIGATION_RESTROOM.mp3];"/pu ˈine i tuaˈleta/";"/pu ˈi-ne i tua-ˈle-ta/";"";""
"Où est le distributeur ?";"Πού είναι το κοντινότερο ΑΤΜ;";[sound:elGR_NAVIGATION_ATM.mp3];"/pu ˈine to kondiˈnotero a.teˈem/";"/pu ˈi-ne to kon-di-ˈno-te-ro A-T-M/";"";""
"C’est combien ?";"Πόσο κάνει αυτό;";[sound:elGR_SHOPPING_HOW_MUCH.mp3];"/ˈposo ˈkani afˈto/";"/ˈpo-so ˈka-ni af-ˈto/";"";""
"Je peux payer par carte ?";"Μπορώ με κάρτα;";[sound:elGR_SHOPPING_PAY_BY_CARD.mp3];"/boˈro me ˈkarta/";"/bo-ˈro me ˈkar-ta/";"";""
"Je paie en espèces.";"Με μετρητά.";[sound:elGR_SHOPPING_PAY_BY_CASH.mp3];"/me metriˈta/";"/me me-tri-ˈta/";"";""
"Au secours !";"Βοήθεια!";[sound:elGR_EMERGENCY_HELP.mp3];"/voˈiθia/";"/vo-ˈee-thia/";"";""
"J’ai besoin d’un médecin !";"Χρειάζομαι γιατρό!";[sound:elGR_EMERGENCY_DOCTOR.mp3];"/xriˈazome ʝaˈtro/";"/hri-ˈa-zo-me ya-ˈtro/";"";""
"Appelez la police !";"Καλέστε την αστυνομία!";[sound:elGR_EMERGENCY_POLICE.mp3];"/kaˈleste tin astinoˈmia/";"/ka-ˈles-te tin as-ti-no-ˈmi-a/";"";""
"un";"ένα";[sound:elGR_NUMBER_ONE.mp3];"/ˈena/";"/ˈe-na/";"";""
"deux";"δύο";[sound:elGR_NUMBER_TWO.mp3];"/ˈðio/";"/ˈthio/";"";""
"trois";"τρία";[sound:elGR_NUMBER_THREE.mp3];"/ˈtria/";"/ˈtri-a/";"";""
"quatre";"τέσσερα";[sound:elGR_NUMBER_FOUR.mp3];"/ˈtesera/";"/ˈte-se-ra/";"";""
"cinq";"πέντε";[sound:elGR_NUMBER_FIVE.mp3];"/ˈpende/";"/ˈpen-de/";"";""
"six";"έξι";[sound:elGR_NUMBER_SIX.mp3];"/ˈeksi/";"/ˈek-si/";"";""
"sept";"εφτά";[sound:elGR_NUMBER_SEVEN.mp3];"/eˈfta/";"/e-ˈfta/";"";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «επτά»."
"huit";"οχτώ";[sound:elGR_NUMBER_EIGHT.mp3];"/oˈxto/";"/o-ˈhto/";"";"Συνηθισμένο στην καθομιλουμένη· πιο επίσημο: «οκτώ»."
"neuf";"εννιά";[sound:elGR_NUMBER_NINE.mp3];"/eˈɲa/";"/e-ˈnia/";"";"Πιο επίσημο: «εννέα»."
"dix";"δέκα";[sound:elGR_NUMBER_TEN.mp3];"/ˈðeka/";"/ˈthe-ka/";"";""
