Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"Selam!";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"Gün boyu kullanılabilir, samimi selam.";"Pergunta informal que serve como cumprimento todo o dia."
"Görüşürüz!";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"Rica ederim";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Teşekküre cevap (= “bir şey değil”).";"Resposta a “obrigado/obrigada”."
"Teşekkürler!";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"Çok teşekkürler!";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Evet";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Hayır";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"Pardon";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"";""
"Ben …";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"Memnun oldum!";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"Adın ne?";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"Nazik: “Adınız ne?”";"Cortês: «Como se chama?»"
"Anlamadım.";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"İngilizce biliyor musunuz?";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"Biraz daha yavaş konuşur musunuz, lütfen?";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"Türkçem çok iyi değil.";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"… Türkçe nasıl denir?";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"Menü lütfen.";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"Kahve";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"";""
"Su";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
"lütfen";"se faz favor";[sound:ptPT_REQUEST_PLEASE.mp3];"/sɨ faʃ fɐˈvoɾ/";"/si fash fa-ˈvor/";"";""
"Hesap lütfen.";"A conta, se faz favor.";[sound:ptPT_REQUEST_BILL.mp3];"/ɐ ˈkõtɐ, sɨ faʃ fɐˈvoɾ/";"/a ˈkon-ta, si fash fa-ˈvor/";"";""
