Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hiya!";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Hello!";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Neutral greeting you can use all day.";"Saludo coloquial válido todo el día."
"Bye!";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"No worries!";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"As a reply to “thanks” (= “you’re welcome”).";"Respuesta a “gracias” (= “con gusto”)."
"Thanks!";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"Thanks a lot!";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Yes";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"No";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Sorry";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"Most common way to get someone’s attention in England.";""
"I'm …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Nice to meet you!";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"What's your name?";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"";""
"I don't get it.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Do you speak English?";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"Could you speak a bit slower, please?";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"My English isn't great.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"How do you say … in English?";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"Menu, please.";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Coffee";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Water";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"please";"porfa";[sound:esES_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"Used when asking for things.";"Forma coloquial de «por favor» muy usada en España."
"Could we get the bill, please?";"La cuenta, porfa.";[sound:esES_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"I'm vegetarian.";"Soy vegetariano/a.";[sound:esES_DINING_VEGETARIAN.mp3];"/soj βegetaˈɾjano(a)/";"/soy ve-he-ta-ˈrya-no(-a)/";"";"“-a” para femenino."
"That was delicious!";"¡Estaba riquísimo!";[sound:esES_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"This is really tasty!";"¡Está muy rico!";[sound:esES_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Where's the train station?";"¿Dónde está la estación?";[sound:esES_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde esˈta la estaˈθjon/";"/ˈdon-de es-ˈta la es-ta-ˈthyon/";"";""
"Where's the toilet?";"¿Dónde está el baño?";[sound:esES_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"“Toilet” is the usual word in the UK; “loo” is very informal.";""
"Where's the nearest cash machine?";"¿Dónde hay un cajero?";[sound:esES_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"UK says “cash machine” more than “ATM”.";""
"How much is this?";"¿Cuánto cuesta?";[sound:esES_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈkwesta/";"/ˈkwan-to ˈkwes-ta/";"";""
"Can I pay by card?";"¿Puedo pagar con tarjeta?";[sound:esES_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"I'll pay in cash.";"Pago en efectivo.";[sound:esES_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Help!";"¡Ayuda!";[sound:esES_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-da/";"";""
"I need a doctor!";"¡Necesito un médico!";[sound:esES_EMERGENCY_DOCTOR.mp3];"/neθeˈθito un ˈmeðiko/";"/ne-the-ˈthi-to un ˈme-di-ko/";"";""
"Call the police!";"¡Llame a la policía!";[sound:esES_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈθia/";"/ˈya-me a la po-li-ˈthia/";"";""
"one";"uno";[sound:esES_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"two";"dos";[sound:esES_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"three";"tres";[sound:esES_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"four";"cuatro";[sound:esES_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"five";"cinco";[sound:esES_NUMBER_FIVE.mp3];"/ˈθiŋko/";"/ˈthin-ko/";"";""
"six";"seis";[sound:esES_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
