Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"Buongiorno!";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"";"Pergunta informal que serve como cumprimento todo o dia."
"A dopo!";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"Prego!";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Reply to “grazie”.";"Resposta a “obrigado/obrigada”."
"Grazie!";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"Grazie mille!";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Sì";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"No";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"Scusa";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"Informal; polite: “Scusi”.";""
"Mi chiamo …";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"Piacere!";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"Come ti chiami?";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"";"Cortês: «Como se chama?»"
"Non capisco.";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"Parla inglese?";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"Un po' più piano, per favore.";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"Il mio italiano non è granché.";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"Come si dice … in italiano?";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"Il menù, per favore.";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"Caffè";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"";""
"Acqua";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
