Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Γεια σας!";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Ουδέτερο, ταιριάζει όλη μέρα.";"Saludo coloquial válido todo el día."
"Τα λέμε!";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"Παρακαλώ!";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Respuesta a “gracias” (= “con gusto”)."
"Ευχαριστώ!";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"Ευχαριστώ πολύ!";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Ναι";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Όχι";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Συγγνώμη";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"Για «με συγχωρείτε» ή «σόρι».";""
"Με λένε …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Χάρηκα!";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"Πώς σε λένε;";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";""
"Δεν καταλαβαίνω.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Μιλάτε Αγγλικά;";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"Λίγο πιο αργά, παρακαλώ.";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"Τα Ελληνικά μου δεν είναι πολύ καλά.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
