Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"Γεια σας!";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"Ουδέτερο, ταιριάζει όλη μέρα.";""
"Τα λέμε!";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"Παρακαλώ!";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Casual “you’re welcome”."
"Ευχαριστώ!";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"";""
"Ευχαριστώ πολύ!";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"Ναι";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"Όχι";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"Συγγνώμη";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"Για «με συγχωρείτε» ή «σόρι».";"Polite plural: “Më falni”."
"Με λένε …";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"Χάρηκα!";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"";""
"Πώς σε λένε;";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";"Polite: “Si quheni?”"
"Δεν καταλαβαίνω.";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
"Μιλάτε Αγγλικά;";"Flisni anglisht?";[sound:sqAL_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈflisni anˈɡliʃt/";"/ˈflees-nee ang-ˈlisht?/";"";""
"Λίγο πιο αργά, παρακαλώ.";"Më ngadalë, ju lutem.";[sound:sqAL_COMMUNICATION_SPEAK_SLOWER.mp3];"/mə ŋaˈdalə, ju ˈlutɛm/";"/mə nga-ˈda-lə, yoo ˈlu-tem/";"";""
"Τα Ελληνικά μου δεν είναι πολύ καλά.";"Nuk flas mirë shqip.";[sound:sqAL_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nuk flas ˈmiɾə ʃcip/";"/nuk flas ˈmee-rə shchip/";"";""
"Πώς το λέτε στα Ελληνικά;";"Si thuhet … në shqip?";[sound:sqAL_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/si ˈθuhɛt nə ʃcip/";"/see ˈthu-het nə shchip?/";"";""
"Κατάλογο, παρακαλώ.";"Menyja, ju lutem.";[sound:sqAL_REQUEST_MENU.mp3];"/mɛˈnyja, ju ˈlutɛm/";"/me-ˈnyah, yoo ˈlu-tem/";"";""
"Καφέ";"Kafe";[sound:sqAL_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Νερό";"Ujë";[sound:sqAL_REQUEST_WATER.mp3];"/ˈujə/";"/ˈoo-yə/";"";""
"παρακαλώ";"ju lutem";[sound:sqAL_REQUEST_PLEASE.mp3];"/ju ˈlutɛm/";"/yoo ˈlu-tem/";"Χρήση όταν ζητάμε κάτι.";""
"Λογαριασμό, παρακαλώ.";"Llogarinë, ju lutem.";[sound:sqAL_REQUEST_BILL.mp3];"/lɔɡaˈɾinə, ju ˈlutɛm/";"/llo-ga-ˈree-nə, yoo ˈlu-tem/";"";""
"Είμαι χορτοφάγος.";"Jam vegjetarian/e.";[sound:sqAL_DINING_VEGETARIAN.mp3];"/jam ved͡ʒetaˈɾian(e)/";"/yam ve-je-ta-ˈryan(-e)/";"Για γυναίκα: «χορτοφάγα».";"“-e” for female."
"Ήταν πεντανόστιμο!";"Ishte shumë e shijshme!";[sound:sqAL_DINING_DELICIOUS.mp3];"/ˈiʃtɛ ʃum ə ˈʃijʃmə/";"/ˈish-te shoom ə ˈsheesh-mə/";"";""
"Είναι τέλειο!";"Është shumë e mirë!";[sound:sqAL_DINING_YUMMY.mp3];"/ˈəʃtə ʃum ə ˈmirə/";"/ˈəsh-tə shoom ə ˈmee-rə/";"";""
"Πού είναι ο σταθμός;";"Ku është stacioni i trenit?";[sound:sqAL_NAVIGATION_TRAIN_STATION.mp3];"/ku ˈəʃtə staˈcjɔni i ˈtrɛnit/";"/koo ˈəsh-tə sta-ˈtsyoh-ni i ˈtre-nit/";"";""
"Πού είναι η τουαλέτα;";"Ku është tualeti?";[sound:sqAL_NAVIGATION_RESTROOM.mp3];"/ku ˈəʃtə tuaˈlɛti/";"/koo ˈəsh-tə tua-ˈle-ti/";"";""
