Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Oi!";"Hallo!";[sound:deDE_GREETING_HELLO.mp3];"/haˈloː/";"/ha-ˈloh/";"";""
"Olá!";"Guten Tag!";[sound:deDE_GREETING_GOOD_DAY.mp3];"/ˈɡuːtən taːk/";"/ˈguu-ten taak/";"";"Neutral; passt den ganzen Tag."
"Tchau!";"Tschüss!";[sound:deDE_FAREWELL_BYE.mp3];"/t͡ʃʏs/";"/tschys/";"";""
"Imagina!";"Gern!";[sound:deDE_POLITENESS_PLEASE.mp3];"/ɡɛʁn/";"/gern/";"Very common reply to “obrigado(a)”. Also “De nada!”.";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“)."
"Obrigado!";"Danke!";[sound:deDE_POLITENESS_THANK_YOU.mp3];"/ˈdaŋkə/";"/ˈdan-kə/";"Female says “Obrigada!”.";""
"Muito obrigado!";"Vielen Dank!";[sound:deDE_POLITENESS_MANY_THANKS.mp3];"/ˈfiːlən ˈdaŋk/";"/ˈfee-lən ˈdank/";"";""
"Sim";"Ja";[sound:deDE_CONFIRMATION_YES.mp3];"/jaː/";"/yaa/";"";""
"Não";"Nein";[sound:deDE_CONFIRMATION_NO.mp3];"/naɪ̯n/";"/nain/";"";""
"Com licença";"Entschuldigung";[sound:deDE_POLITENESS_EXCUSE_ME.mp3];"/ɛntˈʃʊldɪɡʊŋ/";"/ent-ˈshul-di-gung/";"";""
"Eu sou …";"Ich heiße …";[sound:deDE_INTRODUCTION_MY_NAME.mp3];"/ɪç ˈhaɪ̯sə/";"/ich ˈhai-se/";"";""
"Prazer!";"Freut mich!";[sound:deDE_INTRODUCTION_NICE_TO_MEET.mp3];"/fʁɔɪ̯t mɪç/";"/froit mich/";"";""
"Como você se chama?";"Wie heißt du?";[sound:deDE_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/viː ˈhaɪ̯st duː/";"/vee ˈhaist du/";"";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“"
"Não entendi.";"Ich versteh’s nicht.";[sound:deDE_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ɪç fɛɐ̯ˈʃteːs nɪçt/";"/ich fer-ˈshtehs nicht/";"";""
"Você fala inglês?";"Sprechen Sie Englisch?";[sound:deDE_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈʃpʁɛçn̩ ziː ˈɛŋlɪʃ/";"/ˈshprech-en zee ˈeng-lish/";"";""
"Pode falar mais devagar, por favor?";"Ein bisschen langsamer, bitte.";[sound:deDE_COMMUNICATION_SPEAK_SLOWER.mp3];"/aɪ̯n ˈbɪsçn̩ ˈlaŋzamɐ ˈbɪtə/";"/ain ˈbis-chen ˈlang-za-mer ˈbi-te/";"";""
"Meu português não é muito bom.";"Mein Deutsch ist noch nicht so gut.";[sound:deDE_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ̯n dɔʏ̯t͡ʃ ɪst nɔx nɪçt zoː ɡuːt/";"/main doitsh ist noch nicht zo guut/";"";""
"Como se diz … em português?";"Wie sagt man … auf Deutsch?";[sound:deDE_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/viː zaːkt man aʊ̯f dɔʏ̯t͡ʃ/";"/vee zaakt man auf doitsh/";"";""
