Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"Guten Tag!";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"Neutral; passt den ganzen Tag.";"Pergunta informal que serve como cumprimento todo o dia."
"Tschüss!";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"Gern!";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Resposta a “obrigado/obrigada”."
"Danke!";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"Vielen Dank!";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Ja";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Nein";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"Entschuldigung";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"";""
"Ich heiße …";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"Freut mich!";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"Wie heißt du?";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";"Cortês: «Como se chama?»"
"Ich versteh’s nicht.";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"Sprechen Sie Englisch?";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"Ein bisschen langsamer, bitte.";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"Mein Deutsch ist noch nicht so gut.";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"Wie sagt man … auf Deutsch?";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"Speisekarte, bitte.";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"Kaffee";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"";""
"Wasser";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
"bitte";"se faz favor";[sound:ptPT_REQUEST_PLEASE.mp3];"/sɨ faʃ fɐˈvoɾ/";"/si fash fa-ˈvor/";"Beim Bestellen/Bitten.";""
"Die Rechnung, bitte.";"A conta, se faz favor.";[sound:ptPT_REQUEST_BILL.mp3];"/ɐ ˈkõtɐ, sɨ faʃ fɐˈvoɾ/";"/a ˈkon-ta, si fash fa-ˈvor/";"";""
"Ich bin Vegetarier(in).";"Sou vegetariano/a.";[sound:ptPT_DINING_VEGETARIAN.mp3];"/so(w) vɨʒɨtɐɾiˈɐnu(a)/";"/so ve-zhe-ta-ree-ˈa-no(-a)/";"„-in“ für weiblich.";"“-a” para feminino."
"War sehr lecker!";"Estava delicioso!";[sound:ptPT_DINING_DELICIOUS.mp3];"/(ɨ)ʃˈtavɐ dɨliˈsjozu/";"/sh-ˈta-va dɨ-lee-ˈsyo-zu/";"";""
