Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"Γεια!";[sound:elGR_GREETING_HELLO.mp3];"/ʝa/";"/ya/";"";""
"Përshëndetje!";"Γεια σας!";[sound:elGR_GREETING_GOOD_DAY.mp3];"/ʝa sas/";"/ya sas/";"";"Ουδέτερο, ταιριάζει όλη μέρα."
"Tung!";"Τα λέμε!";[sound:elGR_FAREWELL_BYE.mp3];"/ta ˈleme/";"/ta ˈle-me/";"";""
"S'ka gjë!";"Παρακαλώ!";[sound:elGR_POLITENESS_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"Casual “you’re welcome”.";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»)."
"Faleminderit!";"Ευχαριστώ!";[sound:elGR_POLITENESS_THANK_YOU.mp3];"/efxariˈsto/";"/ef-ha-ris-ˈto/";"";""
"Shumë faleminderit!";"Ευχαριστώ πολύ!";[sound:elGR_POLITENESS_MANY_THANKS.mp3];"/efxariˈsto poˈli/";"/ef-ha-ris-ˈto po-ˈli/";"";""
"Po";"Ναι";[sound:elGR_CONFIRMATION_YES.mp3];"/ne/";"/ne/";"";""
"Jo";"Όχι";[sound:elGR_CONFIRMATION_NO.mp3];"/ˈoçi/";"/ˈo-chi/";"";""
"Më fal";"Συγγνώμη";[sound:elGR_POLITENESS_EXCUSE_ME.mp3];"/siɣˈnomi/";"/sig-ˈno-mi/";"Polite plural: “Më falni”.";"Για «με συγχωρείτε» ή «σόρι»."
"Unë jam …";"Με λένε …";[sound:elGR_INTRODUCTION_MY_NAME.mp3];"/me ˈlene/";"/me ˈle-ne/";"";""
"Gëzohem!";"Χάρηκα!";[sound:elGR_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈxaɾika/";"/ˈxa-ri-ka/";"";""
"Si quhesh?";"Πώς σε λένε;";[sound:elGR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/pos se ˈlene/";"/pos se ˈle-ne/";"Polite: “Si quheni?”";"Ευγενικό πληθυντικό: «Πώς σας λένε;»"
"S'e kuptoj.";"Δεν καταλαβαίνω.";[sound:elGR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ðen kata.laˈveno/";"/then ka-ta-la-ˈve-no/";"";""
"Flisni anglisht?";"Μιλάτε Αγγλικά;";[sound:elGR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/miˈlate aɣliˈka/";"/mi-ˈla-te a-ghli-ˈka/";"";""
"Më ngadalë, ju lutem.";"Λίγο πιο αργά, παρακαλώ.";[sound:elGR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈliɣo pço arˈɣa, parakaˈlo/";"/ˈlee-go pyo ar-ˈga, pa-ra-ka-ˈlo/";"";""
"Nuk flas mirë shqip.";"Τα Ελληνικά μου δεν είναι πολύ καλά.";[sound:elGR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ta eliniˈka mu ðen ˈine poˈli kaˈla/";"/ta e-li-ni-ˈka mu then ˈi-ne po-ˈli ka-ˈla/";"";""
"Si thuhet … në shqip?";"Πώς το λέτε στα Ελληνικά;";[sound:elGR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/pos to ˈlete sta eliniˈka/";"/pos to ˈle-te sta e-li-ni-ˈka/";"";""
"Menyja, ju lutem.";"Κατάλογο, παρακαλώ.";[sound:elGR_REQUEST_MENU.mp3];"/kaˈtaloɣo, parakaˈlo/";"/ka-ˈta-lo-go, pa-ra-ka-ˈlo/";"";""
"Kafe";"Καφέ";[sound:elGR_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
