Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Hallo!";[sound:deDE_GREETING_HELLO.mp3];"/haˈloː/";"/ha-ˈloh/";"";""
"Selam!";"Guten Tag!";[sound:deDE_GREETING_GOOD_DAY.mp3];"/ˈɡuːtən taːk/";"/ˈguu-ten taak/";"Gün boyu kullanılabilir, samimi selam.";"Neutral; passt den ganzen Tag."
"Görüşürüz!";"Tschüss!";[sound:deDE_FAREWELL_BYE.mp3];"/t͡ʃʏs/";"/tschys/";"";""
"Rica ederim";"Gern!";[sound:deDE_POLITENESS_PLEASE.mp3];"/ɡɛʁn/";"/gern/";"Teşekküre cevap (= “bir şey değil”).";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“)."
"Teşekkürler!";"Danke!";[sound:deDE_POLITENESS_THANK_YOU.mp3];"/ˈdaŋkə/";"/ˈdan-kə/";"";""
"Çok teşekkürler!";"Vielen Dank!";[sound:deDE_POLITENESS_MANY_THANKS.mp3];"/ˈfiːlən ˈdaŋk/";"/ˈfee-lən ˈdank/";"";""
"Evet";"Ja";[sound:deDE_CONFIRMATION_YES.mp3];"/jaː/";"/yaa/";"";""
"Hayır";"Nein";[sound:deDE_CONFIRMATION_NO.mp3];"/naɪ̯n/";"/nain/";"";""
"Pardon";"Entschuldigung";[sound:deDE_POLITENESS_EXCUSE_ME.mp3];"/ɛntˈʃʊldɪɡʊŋ/";"/ent-ˈshul-di-gung/";"";""
"Ben …";"Ich heiße …";[sound:deDE_INTRODUCTION_MY_NAME.mp3];"/ɪç ˈhaɪ̯sə/";"/ich ˈhai-se/";"";""
"Memnun oldum!";"Freut mich!";[sound:deDE_INTRODUCTION_NICE_TO_MEET.mp3];"/fʁɔɪ̯t mɪç/";"/froit mich/";"";""
"Adın ne?";"Wie heißt du?";[sound:deDE_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/viː ˈhaɪ̯st duː/";"/vee ˈhaist du/";"Nazik: “Adınız ne?”";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“"
"Anlamadım.";"Ich versteh’s nicht.";[sound:deDE_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ɪç fɛɐ̯ˈʃteːs nɪçt/";"/ich fer-ˈshtehs nicht/";"";""
"İngilizce biliyor musunuz?";"Sprechen Sie Englisch?";[sound:deDE_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈʃpʁɛçn̩ ziː ˈɛŋlɪʃ/";"/ˈshprech-en zee ˈeng-lish/";"";""
"Biraz daha yavaş konuşur musunuz, lütfen?";"Ein bisschen langsamer, bitte.";[sound:deDE_COMMUNICATION_SPEAK_SLOWER.mp3];"/aɪ̯n ˈbɪsçn̩ ˈlaŋzamɐ ˈbɪtə/";"/ain ˈbis-chen ˈlang-za-mer ˈbi-te/";"";""
